name,gender,birthyear,namegender,usage,pctyb,rich,pctrank,richnum,french,english,biblical,unisex
Vern,m,1973,['Masculine'],['English'],0.0000167270803376887,Common,0.02500,0,0,1,0,0
Joe,m,1973,['Masculine'],['English'],0.0015618136863449400,Common,0.24700,0,0,1,0,0
Brian,m,1973,['Masculine'],"['English', 'Irish', 'Old Irish']",0.0221212539858464000,Common,0.76300,0,0,1,0,0
Ian,m,1973,['Masculine'],"['Scottish', 'English']",0.0008072365066669800,Common,0.17800,0,0,1,0,0
Christopher,m,1973,['Masculine'],['English'],0.0299371371540049000,Common,0.81700,0,0,1,0,0
Roger,m,1973,['Masculine'],"['English', 'French', 'Catalan', 'Swedish', 'Norwegian', 'German', 'Dutch']",0.0019552098350276200,Common,0.27700,0,1,1,0,0
Aaron,m,1973,['Masculine'],"['English', 'French', 'German', 'Finnish', 'Jewish', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0057219005184775300,Common,0.48100,0,1,1,1,0
Arlen,m,1973,['Masculine'],['English'],0.0000142489943617348,Common,0.02200,0,0,1,0,0
Jeremy,m,1973,['Masculine'],"['English', 'Biblical']",0.0058018187912020500,Common,0.48300,0,0,1,1,0
Shawn,m,1973,"['Feminine', 'Masculine']",['English'],0.0070941406276620000,Common,0.51200,0,0,1,0,1
Shawn,m,1973,"['Feminine', 'Masculine']",['English'],0.0070941406276620000,Common,0.51200,0,0,1,0,1
Thomas,m,1973,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0111092594302013000,Common,0.59300,0,1,1,1,0
Donald,m,1973,['Masculine'],"['Scottish', 'English']",0.0051804387327316100,Common,0.46400,0,0,1,0,0
Jeremy,m,1973,['Masculine'],"['English', 'Biblical']",0.0058018187912020500,Common,0.48400,0,0,1,1,0
Richard,m,1973,['Masculine'],"['English', 'French', 'German', 'Czech', 'Slovak', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Germanic']",0.0123588342835760000,Common,0.62300,0,1,1,0,0
Christopher,m,1973,['Masculine'],['English'],0.0299371371540049000,Common,0.81700,0,0,1,0,0
Jeffrey,m,1973,['Masculine'],['English'],0.0119090616789404000,Common,0.61100,0,0,1,0,0
James,m,1973,['Masculine'],"['English', 'Biblical']",0.0265595059687798000,Common,0.79400,0,0,1,1,0
Steven,m,1973,['Masculine'],"['English', 'Dutch']",0.0106464768741919000,Common,0.58500,0,0,1,0,0
Grant,m,1973,['Masculine'],"['English', 'Scottish']",0.0003562248590433720,Common,0.12300,0,0,1,0,0
Thomas,m,1973,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0111092594302013000,Common,0.59300,0,1,1,1,0
James,m,1973,['Masculine'],"['English', 'Biblical']",0.0265595059687798000,Common,0.79400,0,0,1,1,0
